MAid261_1_2_5	XX	0	1_2_5	L001	/mnt/home1/reid/ajr236/projects/hansong/GBP0001/processing/NVS024/fastqs/MAid261_1_2_5_S21_L001_R1_001.fastq.gz	/mnt/home1/reid/ajr236/projects/hansong/GBP0001/processing/NVS024/fastqs/MAid261_1_2_5_S21_L001_R2_001.fastq.gz
MAid261_A470L	XX	0	A470L	L001	/mnt/home1/reid/ajr236/projects/hansong/GBP0001/processing/NVS024/fastqs/MAid261_A470L_S22_L001_R1_001.fastq.gz	/mnt/home1/reid/ajr236/projects/hansong/GBP0001/processing/NVS024/fastqs/MAid261_A470L_S22_L001_R2_001.fastq.gz
MAid261_A75L	XX	0	A75L	L001	/mnt/home1/reid/ajr236/projects/hansong/GBP0001/processing/NVS024/fastqs/MAid261_A75L_S2_L001_R1_001.fastq.gz	/mnt/home1/reid/ajr236/projects/hansong/GBP0001/processing/NVS024/fastqs/MAid261_A75L_S2_L001_R2_001.fastq.gz
MAid261_Actrl	XX	0	Actrl	L001	/mnt/home1/reid/ajr236/projects/hansong/GBP0001/processing/NVS024/fastqs/MAid261_Actrl_S19_L001_R1_001.fastq.gz	/mnt/home1/reid/ajr236/projects/hansong/GBP0001/processing/NVS024/fastqs/MAid261_Actrl_S19_L001_R2_001.fastq.gz
MAid261_B1089L	XX	0	B1089L	L001	/mnt/home1/reid/ajr236/projects/hansong/GBP0001/processing/NVS024/fastqs/MAid261_B1089L_S24_L001_R1_001.fastq.gz	/mnt/home1/reid/ajr236/projects/hansong/GBP0001/processing/NVS024/fastqs/MAid261_B1089L_S24_L001_R2_001.fastq.gz
MAid261_B143L	XX	0	B143L	L001	/mnt/home1/reid/ajr236/projects/hansong/GBP0001/processing/NVS024/fastqs/MAid261_B143L_S3_L001_R1_001.fastq.gz	/mnt/home1/reid/ajr236/projects/hansong/GBP0001/processing/NVS024/fastqs/MAid261_B143L_S3_L001_R2_001.fastq.gz
MAid261_B7L	XX	0	B7L	L001	/mnt/home1/reid/ajr236/projects/hansong/GBP0001/processing/NVS024/fastqs/MAid261_B7L_S23_L001_R1_001.fastq.gz	/mnt/home1/reid/ajr236/projects/hansong/GBP0001/processing/NVS024/fastqs/MAid261_B7L_S23_L001_R2_001.fastq.gz
MAid261_Bctrl1	XX	0	Bctrl1	L001	/mnt/home1/reid/ajr236/projects/hansong/GBP0001/processing/NVS024/fastqs/MAid261_Bctrl1_S18_L001_R1_001.fastq.gz	/mnt/home1/reid/ajr236/projects/hansong/GBP0001/processing/NVS024/fastqs/MAid261_Bctrl1_S18_L001_R2_001.fastq.gz
MAid261_Bctrl2	XX	0	Bctrl2	L001	/mnt/home1/reid/ajr236/projects/hansong/GBP0001/processing/NVS024/fastqs/MAid261_Bctrl2_S17_L001_R1_001.fastq.gz	/mnt/home1/reid/ajr236/projects/hansong/GBP0001/processing/NVS024/fastqs/MAid261_Bctrl2_S17_L001_R2_001.fastq.gz
MAid261_C121L	XX	0	C121L	L001	/mnt/home1/reid/ajr236/projects/hansong/GBP0001/processing/NVS024/fastqs/MAid261_C121L_S4_L001_R1_001.fastq.gz	/mnt/home1/reid/ajr236/projects/hansong/GBP0001/processing/NVS024/fastqs/MAid261_C121L_S4_L001_R2_001.fastq.gz
MAid261_C149L	XX	0	C149L	L001	/mnt/home1/reid/ajr236/projects/hansong/GBP0001/processing/NVS024/fastqs/MAid261_C149L_S26_L001_R1_001.fastq.gz	/mnt/home1/reid/ajr236/projects/hansong/GBP0001/processing/NVS024/fastqs/MAid261_C149L_S26_L001_R2_001.fastq.gz
MAid261_C176L	XX	0	C176L	L001	/mnt/home1/reid/ajr236/projects/hansong/GBP0001/processing/NVS024/fastqs/MAid261_C176L_S27_L001_R1_001.fastq.gz	/mnt/home1/reid/ajr236/projects/hansong/GBP0001/processing/NVS024/fastqs/MAid261_C176L_S27_L001_R2_001.fastq.gz
MAid261_C226L	XX	0	C226L	L001	/mnt/home1/reid/ajr236/projects/hansong/GBP0001/processing/NVS024/fastqs/MAid261_C226L_S5_L001_R1_001.fastq.gz	/mnt/home1/reid/ajr236/projects/hansong/GBP0001/processing/NVS024/fastqs/MAid261_C226L_S5_L001_R2_001.fastq.gz
MAid261_C32	XX	0	C32	L001	/mnt/home1/reid/ajr236/projects/hansong/GBP0001/processing/NVS024/fastqs/MAid261_C32_S12_L001_R1_001.fastq.gz	/mnt/home1/reid/ajr236/projects/hansong/GBP0001/processing/NVS024/fastqs/MAid261_C32_S12_L001_R2_001.fastq.gz
MAid261_C435L	XX	0	C435L	L001	/mnt/home1/reid/ajr236/projects/hansong/GBP0001/processing/NVS024/fastqs/MAid261_C435L_S28_L001_R1_001.fastq.gz	/mnt/home1/reid/ajr236/projects/hansong/GBP0001/processing/NVS024/fastqs/MAid261_C435L_S28_L001_R2_001.fastq.gz
MAid261_C440L	XX	0	C440L	L001	/mnt/home1/reid/ajr236/projects/hansong/GBP0001/processing/NVS024/fastqs/MAid261_C440L_S6_L001_R1_001.fastq.gz	/mnt/home1/reid/ajr236/projects/hansong/GBP0001/processing/NVS024/fastqs/MAid261_C440L_S6_L001_R2_001.fastq.gz
