MAid261_C99L	XX	0	C99L	L001	MAid261_C99L_S25_L001_R1_001.fastq.gz	MAid261_C99L_S25_L001_R2_001.fastq.gz
MAid261_Cctrl	XX	0	Cctrl	L001	MAid261_Cctrl_S1_L001_R1_001.fastq.gz	MAid261_Cctrl_S1_L001_R2_001.fastq.gz
MAid261_D1059L	XX	0	D1059L	L001	MAid261_D1059L_S11_L001_R1_001.fastq.gz	MAid261_D1059L_S11_L001_R2_001.fastq.gz
MAid261_D1246L	XX	0	D1246L	L001	MAid261_D1246L_S34_L001_R1_001.fastq.gz	MAid261_D1246L_S34_L001_R2_001.fastq.gz
MAid261_D238L	XX	0	D238L	L001	MAid261_D238L_S8_L001_R1_001.fastq.gz	MAid261_D238L_S8_L001_R2_001.fastq.gz
MAid261_D445L	XX	0	D445L	L001	MAid261_D445L_S33_L001_R1_001.fastq.gz	MAid261_D445L_S33_L001_R2_001.fastq.gz
MAid261_D847L	XX	0	D847L	L001	MAid261_D847L_S9_L001_R1_001.fastq.gz	MAid261_D847L_S9_L001_R2_001.fastq.gz
MAid261_D868L	XX	0	D868L	L001	MAid261_D868L_S35_L001_R1_001.fastq.gz	MAid261_D868L_S35_L001_R2_001.fastq.gz
MAid261_D971L	XX	0	D971L	L001	MAid261_D971L_S10_L001_R1_001.fastq.gz	MAid261_D971L_S10_L001_R2_001.fastq.gz
MAid261_Dctrl	XX	0	Dctrl	L001	MAid261_Dctrl_S20_L001_R1_001.fastq.gz	MAid261_Dctrl_S20_L001_R2_001.fastq.gz
